C:\Users\JayphoneLin\anaconda3\envs\pytorch_study\python.exe C:/Users/JayphoneLin/Desktop/GAN-INTRO/GAN-Generate-fake-MNIST.py
Epoch [33/200], Step [200/600], d_loss: 0.4672, g_loss: 4.7586, D(x): 0.88, D(G(z)): 0.10
Epoch [33/200], Step [400/600], d_loss: 0.3159, g_loss: 4.1268, D(x): 0.94, D(G(z)): 0.11
Epoch [33/200], Step [600/600], d_loss: 0.3243, g_loss: 3.4032, D(x): 0.94, D(G(z)): 0.18
Epoch [34/200], Step [200/600], d_loss: 0.3408, g_loss: 3.6633, D(x): 0.92, D(G(z)): 0.10
Epoch [34/200], Step [400/600], d_loss: 0.3801, g_loss: 3.6667, D(x): 0.86, D(G(z)): 0.06
Epoch [34/200], Step [600/600], d_loss: 0.5364, g_loss: 5.8862, D(x): 0.78, D(G(z)): 0.04
Epoch [35/200], Step [200/600], d_loss: 0.4127, g_loss: 4.6493, D(x): 0.81, D(G(z)): 0.02
Epoch [35/200], Step [400/600], d_loss: 0.2345, g_loss: 4.5528, D(x): 0.94, D(G(z)): 0.11
Epoch [35/200], Step [600/600], d_loss: 0.3772, g_loss: 3.1981, D(x): 0.94, D(G(z)): 0.16
Epoch [36/200], Step [200/600], d_loss: 0.4952, g_loss: 2.5831, D(x): 0.83, D(G(z)): 0.11
Epoch [36/200], Step [400/600], d_loss: 0.4355, g_loss: 2.5710, D(x): 0.88, D(G(z)): 0.15
Epoch [36/200], Step [600/600], d_loss: 0.3306, g_loss: 3.5076, D(x): 0.85, D(G(z)): 0.08
Epoch [37/200], Step [200/600], d_loss: 0.4389, g_loss: 4.1509, D(x): 0.80, D(G(z)): 0.04
Epoch [37/200], Step [400/600], d_loss: 0.5643, g_loss: 3.0900, D(x): 0.86, D(G(z)): 0.16
Epoch [37/200], Step [600/600], d_loss: 0.5282, g_loss: 3.6872, D(x): 0.84, D(G(z)): 0.12
Epoch [38/200], Step [200/600], d_loss: 0.4503, g_loss: 2.7451, D(x): 0.91, D(G(z)): 0.19
Epoch [38/200], Step [400/600], d_loss: 0.4982, g_loss: 2.9763, D(x): 0.86, D(G(z)): 0.15
Epoch [38/200], Step [600/600], d_loss: 0.4399, g_loss: 1.8417, D(x): 0.89, D(G(z)): 0.17
Epoch [39/200], Step [200/600], d_loss: 0.4648, g_loss: 3.6259, D(x): 0.86, D(G(z)): 0.11
Epoch [39/200], Step [400/600], d_loss: 0.4482, g_loss: 3.8244, D(x): 0.83, D(G(z)): 0.09
Epoch [39/200], Step [600/600], d_loss: 0.4849, g_loss: 2.9323, D(x): 0.83, D(G(z)): 0.10
Epoch [40/200], Step [200/600], d_loss: 0.5113, g_loss: 3.4513, D(x): 0.82, D(G(z)): 0.09
Epoch [40/200], Step [400/600], d_loss: 0.3944, g_loss: 3.3772, D(x): 0.87, D(G(z)): 0.11
Epoch [40/200], Step [600/600], d_loss: 0.4404, g_loss: 3.1516, D(x): 0.88, D(G(z)): 0.18
Epoch [41/200], Step [200/600], d_loss: 0.3883, g_loss: 3.7155, D(x): 0.84, D(G(z)): 0.08
Epoch [41/200], Step [400/600], d_loss: 0.3614, g_loss: 4.1148, D(x): 0.88, D(G(z)): 0.11
